COGID	L1	L2	L3	L4	ND1	ND2	ND3	ND4	ND5	Description
COG0014	234.47	255.87	237.91	293.43	202.52	226.42	205.51	206.9	215.26	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate
COG0015	307.52	309.62	307.84	342.82	290.9	332.91	292.88	324.26	312.23	Adenylosuccinate lyase C-terminus
COG0016	276.94	289.74	293.6	310.49	253.96	255.39	254.85	257.78	279.67	Aminoacyl tRNA synthetase class II, N-terminal domain
COG0017	316.41	368.45	359.24	403.6	329.45	294.22	321.4	299.66	278.55	asparagine-tRNA ligase
COG0018	309.76	334.14	323.84	359.48	304.28	325.68	305.51	321.79	305.87	Arginyl-tRNA synthetase
COG0019	450.66	520.5	476.62	576.1	424.27	454.24	387.8	474.16	402.18	PFAM Orn DAP Arg decarboxylase 2
COG0020	274.1	293.55	285.78	295.36	233.82	268.28	243.11	249.22	247.53	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids
COG0021	100.57	164.1	107.7	226.19	159.28	141.53	153.38	160.88	144.09	Belongs to the transketolase family
COG0022	33.35	102.26	56.81	144.19	29.27	32.4	42.11	24.47	24.67	Transketolase, central region
COG0023	37.57	34.09	32.41	49.68	69.98	62.9	63	72.03	61.9	PFAM translation initiation factor SUI1
COG0024	366.86	397.21	378.82	392.9	346.44	397.56	334.11	400.84	364.93	Metallopeptidase family M24
COG0025	45.67	49.95	49.94	30.13	13.23	20.7	13.84	16.32	19.77	Psort location CytoplasmicMembrane, score 10.00
COG0026	19.62	17.26	26.43	14.86	28.14	31.78	31.85	18.08	17.03	ATP-grasp domain
COG0027	166.14	121.85	148.6	128.63	161.6	122.22	137.61	164.91	130.02	ATP-grasp domain
COG0028	814.18	798.69	812.94	851.1	752.26	846.27	710.77	777.47	764.63	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
COG0029	124.91	189.76	142.21	247.92	176.75	227.46	169.98	218.47	214.61	Catalyzes the oxidation of L-aspartate to iminoaspartate
COG0030	430.53	444.19	458.99	428.81	415.31	368.96	395.37	354.01	406.79	rRNA (adenine-N6,N6-)-dimethyltransferase activity
COG0031	305.08	387.66	349.12	394.08	270.62	391.32	293.07	321.32	277.17	Pyridoxal-phosphate dependent enzyme
COG0033	0.94	0.3	0.26	0.39	3.4	1.99	3.06	4.37	5.53	Phosphoglucomutase
COG0034	534.58	538.24	554.71	581.94	522.12	548.65	500.89	574.26	555.27	Glutamine amidotransferase domain
COG0035	204.94	168.55	207.36	177.78	223.05	236.24	210.37	247.23	197.31	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate
COG0036	407.07	374.52	412.54	374.2	369.72	508.83	386.9	477.4	494.6	Ribulose-phosphate 3 epimerase family
COG0037	514.83	514.02	551.1	490.71	469.62	505.61	482.25	460.06	526.58	Belongs to the TtcA family
COG0038	247.01	355	259.62	424.11	250.73	247.42	230.96	275.77	226.12	Chloride transporter, ClC family
COG0039	268.75	346.5	295.93	359.56	336.09	356.53	319.6	359.61	344.81	Belongs to the LDH MDH superfamily. LDH family
COG0040	158.27	215.66	196.66	242.22	174.67	170.94	183.75	173.37	161.4	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity
COG0041	191.99	217.51	194.9	232.33	178.44	183.97	183.48	175.21	214.75	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)
COG0042	376.35	476.33	439.69	482.17	448.68	552.59	397.21	535.69	466.98	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
COG0043	22.56	7.28	8.16	4.62	21.32	18.89	16.71	14.37	14.11	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
COG0044	337.8	336.59	328.81	390.16	295.82	354	310.01	334.07	337.74	Belongs to the metallo-dependent hydrolases superfamily. DHOase family. Class I DHOase subfamily
COG0045	24.98	80.48	47.09	108.48	9.8	13.29	23.18	13.08	12.07	Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit
COG0046	391.99	408.28	404.68	459.29	367.68	429.32	375.89	400.99	400.7	phosphoribosylformylglycinamidine synthase
COG0047	391.06	401.89	398.75	436.84	365.99	427.15	374.24	398.29	398.63	phosphoribosylformylglycinamidine synthase
COG0048	136.07	210.57	195.9	196.8	142.58	169.05	144.87	165.26	151.15	structural constituent of ribosome
COG0049	204.68	246.86	226.82	267.43	193.44	196.7	211.72	194.09	188.12	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA
COG0050	354.74	391.86	367.75	443.33	378.64	422.6	374.74	422.26	377.73	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
COG0051	117.53	162.51	131.15	154.01	123.9	134.86	124.08	137.68	117.44	Involved in the binding of tRNA to the ribosomes
COG0052	273.75	388.52	323.51	442.43	279.52	311.52	287.1	299.62	290.93	Belongs to the universal ribosomal protein uS2 family
COG0053	314.12	335.67	339.91	375.88	241.73	295.94	269.01	273.57	256.21	Dimerisation domain of Zinc Transporter
COG0054	101.05	168.15	126.82	196.98	140.2	119.79	128.71	140.08	129.47	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin
COG0055	305.83	321.35	312.38	379.11	285.24	267.51	274.82	281.21	308.7	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
COG0056	310.93	327.05	303.12	376.31	293.61	262.41	260.86	287.67	290.27	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
COG0057	278.63	305.62	287.67	339.75	276.94	261.56	287.68	276.25	274.01	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
COG0058	614.4	533.32	595.25	596.18	517.66	557.23	509.56	545.32	497.1	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
COG0059	216.77	262.65	230.99	301.68	190.85	208.31	212.75	198.24	235.07	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate
COG0060	445.38	448.44	449.74	496.13	424.06	480.63	408.76	476.61	421.46	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)
COG0061	243.69	266.73	243.98	311.8	216.38	251.63	222.88	237.17	237.75	Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP
COG0062	232.81	271.94	247.05	303.21	225.46	259.38	222.51	258.13	242.58	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
COG0063	242.69	280.39	254.12	312.24	232.14	267.78	228.27	266.95	252.19	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
COG0064	208.67	233.61	231.98	229.24	157.17	203.18	157.65	168.06	207.48	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
COG0065	213.86	271.02	242.38	288.65	275.72	375.28	279.85	336.65	313.51	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate
COG0066	166.08	215.55	197.71	215.29	216.16	242.46	210.19	227.95	223.43	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate
COG0067	287.02	303.73	315.81	333.76	319.46	448.18	276.83	421.1	299.61	Glutamate synthase central domain
COG0068	30.1	75.47	39.53	102.96	11.99	20.62	28.92	17.76	20.84	Acylphosphatase
COG0069	368.82	348.9	364.45	377.96	360.78	485.73	312.09	467.53	340.28	Glutamate synthase central domain
COG0070	251.63	267.16	259	298.84	302.06	354.25	270.31	334.53	290.31	Glutamate synthase central domain
COG0071	104.56	114.1	129.6	84.92	140.13	158.57	140.29	142.84	132.85	Hsp20/alpha crystallin family
COG0072	342.75	360.72	367.57	396.66	326.32	366.2	323.14	358.53	338.35	phenylalanine-tRNA ligase activity
COG0073	499.51	473.91	491.08	562.68	539.15	564.19	544.66	555.61	559.94	phenylalanine-tRNA ligase activity
COG0074	31.01	79.5	49.21	102.81	16.67	19.43	15.28	16.18	17	Succinyl-CoA synthetase, alpha subunit
COG0075	74.88	151.48	92.09	181.12	84.49	99.29	81.28	78.59	118.15	Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family. PhnW subfamily
COG0076	65.8	125.29	78.55	165.63	48.6	33.61	27.31	46.73	43.06	Pyridoxal-dependent decarboxylase conserved domain
COG0077	249.87	311.97	273.04	369.56	218.17	231.62	226.47	233.37	214.26	Prephenate dehydratase
COG0078	309.45	334.14	322.67	354.46	264.45	332.26	333.49	291.84	342.81	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline
COG0079	388.9	530.14	454.65	574.55	489.51	404.94	456.49	447.15	430.29	Aminotransferase class I and II
COG0080	173.48	211.97	195.11	218.31	197.51	198.65	192.39	202.03	190.08	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
COG0081	267.08	310.38	287.72	335.08	251.46	283.75	269.74	272.78	294.46	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release
COG0082	239.17	246.64	242.83	282	231.33	260.84	233.74	250.76	247.99	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
COG0083	28.44	33.06	29.47	24.66	11.5	18.1	15.79	16.57	16.59	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate
COG0084	413.15	501.47	455.29	515.88	394.53	415.19	376.46	425.49	404.1	TatD related DNase
COG0085	579.94	586.04	569.11	685.36	534.62	575.16	540.84	563.32	561.61	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
COG0086	517.9	541.49	527.68	596.46	548.59	544.36	515.22	533.53	506.78	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
COG0087	268.8	293.11	276.15	302.27	231.82	272.22	255.12	257.06	254.95	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
COG0088	254.16	292.28	275.61	320.76	250.17	244.63	252.54	259.47	237.26	Forms part of the polypeptide exit tunnel
COG0089	175.33	207.51	194.13	227.35	180.63	182.67	174.31	191.26	167.61	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome
COG0090	252.91	295.52	289.7	327.54	228.48	244.77	244.49	243.39	245.31	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
COG0091	190	208.32	220.64	228.18	188.3	185.14	183.58	180.46	176.35	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
COG0092	254.57	267.35	268.1	316.46	261.43	289.96	270.42	294.81	276.62	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation
COG0093	166.9	191.73	170.06	222.57	165.93	201.83	173.35	189.8	170.9	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
COG0094	264.3	306.41	285.47	319.79	256.27	296.7	264.37	277.04	254.91	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
COG0095	77.34	113.87	81.68	163.16	94.57	81.94	92.69	89.28	79.04	Lipoate-protein ligase
COG0096	205.86	252.03	240.14	258.11	201.91	219.69	205.67	213.32	185.34	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit
COG0097	215.24	256.34	247.13	280.03	212.98	208.19	221.34	214.24	207.84	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center
COG0098	191.4	246.63	229.6	261.36	219.31	261.44	232.48	252.99	221.27	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body
COG0099	172.35	215.24	187.61	206.29	164.09	163.15	169.66	163.56	139.58	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
COG0100	162.89	199.72	183.52	208.86	119.25	148.51	119.37	136.64	130.24	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
COG0101	334.4	351.7	351.91	350.89	306.87	364.97	318.39	343.91	352.81	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs
COG0102	201.25	230.3	224.4	232.53	200.18	216.69	183.66	218.68	185.76	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly
COG0103	199.84	236.78	212.5	243.05	178	168.18	177.15	173.61	156.76	Belongs to the universal ribosomal protein uS9 family
COG0104	293.96	300.89	316.88	332	272.24	297.6	275.9	299.26	285.25	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
COG0105	83.3	126.02	91.27	151.65	88.95	78.13	79.21	89.71	66.57	Nucleoside diphosphate kinase
COG0106	165.48	197.43	188.93	220.81	164.37	174.74	168.6	168.42	182.94	Histidine biosynthesis protein
COG0107	274.31	285.22	285.87	290.56	214.87	242.14	208.4	231.86	227.48	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit
COG0108	154.56	223.39	182.3	260.96	180.24	138.65	151.23	165.36	161.08	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
COG0109	0.63	0.28	0.17	0	0.56	0.54	0.44	1.27	0.9	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group
COG0110	1252.94	1427.7	1331.64	1329.16	1264.16	1066.35	1193.81	1233.19	1011.74	Bacterial transferase hexapeptide repeat protein
COG0111	405.33	431.58	394.78	458.49	305.55	368.52	352.6	327.79	315.57	Catalyzes the NADPH-dependent reduction of glyoxylate and hydroxypyruvate into glycolate and glycerate, respectively
COG0112	279.95	302.56	304.26	343.26	275.62	308.14	263.38	306.54	285.35	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
COG0113	110.39	116.88	108.18	156.01	53.33	49.23	51.03	49.45	53.14	Delta-aminolevulinic acid dehydratase
COG0114	22.75	34.56	28.13	24.92	18.42	25.55	23.44	26.46	15.6	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate
COG0115	309.74	372.2	315.51	437.08	315.35	343.65	315.3	337.73	332.9	Branched-chain amino acid aminotransferase
COG0116	247.64	211.63	237.06	221.93	283.1	292.68	277.8	292.62	281.14	Belongs to the methyltransferase superfamily
COG0117	125.48	233.76	168.25	220.18	154.27	118.64	135.07	147.81	142.69	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate
COG0118	178.03	201.16	196.69	205.29	155.84	171.78	161.77	165.38	170.69	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR
COG0119	557.55	598.33	569.29	615.1	506.94	619.95	562.7	575.98	568.52	HMGL-like
COG0120	12.04	20.37	20.05	9.77	13.05	8.61	6.5	11.6	10.41	Ribose 5-phosphate isomerase
COG0121	1.88	2.82	1.94	2.02	34.89	22.46	29.72	37.63	27.25	glutamine amidotransferase
COG0122	150.22	152.69	142.33	190.91	92.25	88.79	116	78.85	84.36	Psort location Cytoplasmic, score 8.87
COG0123	2.82	2.27	1.1	0.05	3.16	1.75	1.67	5.97	5.66	Histone deacetylase domain
COG0124	293.38	329.72	311.6	350.52	274.85	318.22	279.58	316.98	284.26	Histidyl-tRNA synthetase
COG0125	130.58	162.58	153.42	167.97	79.75	81.32	93.73	67.59	63.94	Thymidylate kinase
COG0126	296.06	322.33	305.42	359.07	285.74	316.26	286.11	314.59	303	Belongs to the phosphoglycerate kinase family
COG0127	293.8	287.52	287.39	305.64	264.14	330.25	283.88	298.38	278.41	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
COG0128	256.52	281.15	279.76	313.09	251.08	292.04	257.98	272.33	269.34	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate
COG0129	350.91	353.29	342.8	419.01	327.45	379.64	324.91	336.89	326.76	Dehydratase family
COG0130	232.26	287.67	263.16	311.39	231.23	265.85	221.66	260.09	242.18	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs
COG0131	158.87	193.42	183.42	213.13	164.54	176.39	170.96	173.71	172.51	Imidazoleglycerol-phosphate dehydratase
COG0132	94.95	152.53	99.19	181.51	116.54	91.66	84.48	110.43	107.03	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring
COG0133	129.65	202.03	164.41	258.83	134.06	277.65	150.3	243.31	162.38	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine
COG0134	99.59	195.08	127.38	234.62	105.16	167.85	117.27	148.87	129.66	Belongs to the TrpC family
COG0135	80.67	114.63	92.43	119.56	85.67	145.27	89.91	122.26	110.04	Psort location Cytoplasmic, score 8.87
COG0136	242.31	274.13	255.03	300.7	253.79	254.42	263.85	255.65	260.28	Semialdehyde dehydrogenase, NAD binding domain
COG0137	280.89	299.38	271.39	364.54	215.47	219.96	216.43	211.36	203.41	Arginosuccinate synthase
COG0138	293.4	317.15	299.51	365.25	279.42	272.35	296.43	287.83	292.13	AICARFT/IMPCHase bienzyme
COG0139	158.06	203.04	181.29	205.49	177.53	171.27	168.26	169.77	157.49	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP
COG0140	147.41	125.75	148.62	114.18	149.37	130.63	138.85	137.45	120.4	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP
COG0141	191.29	217.26	214.36	230.43	194.49	221.34	219.74	214.03	217	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
COG0142	367.7	424.73	378.92	524.78	383.84	403.66	392.75	417.82	377.55	Polyprenyl synthetase
COG0143	452	442.28	456.2	456.28	391.65	431.78	402.06	414.43	397.79	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
COG0144	387.4	455.21	425.32	515.12	385.35	435.32	368.31	407.1	430.71	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
COG0145	37.04	29.88	33.77	31.07	26.76	24.77	30.64	25.2	33.12	Hydantoinase/oxoprolinase
COG0146	8.62	5.4	6.87	6.1	3.48	3.52	4.54	4.13	9.86	Hydantoinase B/oxoprolinase
COG0147	106.31	191.77	129.38	231.61	155.16	215.62	150.13	202.68	179.53	Anthranilate synthase component I, N terminal region
COG0148	292.5	414.46	341.95	458.55	271.46	248.89	273.22	274.52	304.25	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
COG0149	297.18	319.74	303.83	343.83	258.52	232.94	250.83	246.55	249.15	Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)
COG0150	311.48	320.24	302.29	355.29	285.87	299.83	304.97	286.11	318.7	AIR synthase related protein, N-terminal domain
COG0151	388.49	383.29	390.91	396.06	339.42	384.22	373.25	365.35	382.59	Belongs to the GARS family
COG0152	261.47	315.31	274.43	344.16	264.76	295.27	268.17	283.9	271.54	SAICAR synthetase
COG0153	381.03	382.4	359.47	458.13	332.5	332.98	319.23	329.9	325.36	Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P)
COG0154	200.54	224.39	230.96	210.26	149.12	208.81	160.37	183.69	206.91	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)
COG0155	81.63	169.42	130.89	155.53	48.51	58.31	75.02	48.17	59.96	Nitrite/Sulfite reductase ferredoxin-like half domain
COG0156	194.43	303.22	199.34	424.62	307.53	258.9	270.44	334.85	259.97	2-amino-3-ketobutyrate CoA ligase
COG0157	107.7	158.3	124.42	201.94	153.83	183.76	146.88	183.49	177.97	Belongs to the NadC ModD family
COG0158	11.72	3.31	1.33	0.87	5.85	10.76	12.44	8.93	11.54	D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1
COG0159	112.69	123.8	120.03	141.48	118.58	216.32	127.3	201.48	156.25	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate
COG0160	19.69	13.92	18.07	14.03	17.42	56.04	21.98	60.3	17.22	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
COG0161	177.34	227.57	167.78	280.97	183.2	140.37	144.54	188.12	182.46	Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor
COG0162	334.71	357.17	353.57	375.71	291.85	317.67	313.32	313.66	318.98	Tyrosyl-tRNA synthetase
COG0163	15.59	5.49	6.24	4.62	17.6	18.01	18.25	12.8	13.1	Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN
COG0164	214.31	265.33	247.71	279.09	199.01	241.25	215.24	223.71	212.32	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids
