ContigID	Length	Type	Taxonomy	Host	Lifestyle
LPd_1__1285	2349	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Drexlerviridae	Colwellia psychrerythraea	temperate
LPd_1__1302	2060	phage	unknown	unknown	virulent
LPd_1__1308	4887	phage	unknown	Candidatus Pelagibacter ubique	temperate
LPd_1__1328	34254	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Streptomyces venezuelae	temperate
LPd_1__1330	4076	non-phage	NA	NA	NA
LPd_1__1359	3446	non-phage	NA	NA	NA
LPd_1__137	2744	non-phage	NA	NA	NA
LPd_1__1373	5821	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1374	2075	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1377	4696	non-phage	NA	NA	NA
LPd_1__1398	2374	non-phage	NA	NA	NA
LPd_1__1405	2392	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__141	4456	non-phage	NA	NA	NA
LPd_1__1431	2971	non-phage	NA	NA	NA
LPd_1__1440	3837	non-phage	NA	NA	NA
LPd_1__1450	6575	phage	unknown	unknown	virulent
LPd_1__1462	3537	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__1466	4535	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__1473	7112	phage	unknown	bacterium 1XD8-92	virulent
LPd_1__1488	3465	phage	unknown	unknown	virulent
LPd_1__1492	9726	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	temperate
LPd_1__1514	11666	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_1__1525	5001	phage	unknown	unknown	virulent
LPd_1__1540	2438	non-phage	NA	NA	NA
LPd_1__1541	9803	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Guelinviridae	unknown	temperate
LPd_1__1547	4275	phage	unknown	unknown	temperate
LPd_1__1562	3362	non-phage	NA	NA	NA
LPd_1__1565	2112	non-phage	NA	NA	NA
LPd_1__1567	2287	phage	unknown	unknown	virulent
LPd_1__1570	42289	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Paramuribaculum intestinale	virulent
LPd_1__1574	2436	non-phage	NA	NA	NA
LPd_1__1600	11738	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	unknown	virulent
LPd_1__1601	7974	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__1617	25725	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	virulent
LPd_1__1627	2875	non-phage	NA	NA	NA
LPd_1__1633	4814	phage	unknown	unknown	temperate
LPd_1__1639	3912	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__164	2405	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1660	2333	non-phage	NA	NA	NA
LPd_1__1663	10000	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_1__1672	6804	non-phage	NA	NA	NA
LPd_1__1673	32586	non-phage	NA	NA	NA
LPd_1__1677	2207	non-phage	NA	NA	NA
LPd_1__1689	2010	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1693	12318	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	unknown	temperate
LPd_1__1695	10351	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	unknown	virulent
LPd_1__1697	3501	non-phage	NA	NA	NA
LPd_1__1713	3374	non-phage	NA	NA	NA
LPd_1__172	2740	non-phage	NA	NA	NA
LPd_1__1739	2133	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Herelleviridae	unknown	virulent
LPd_1__1751	2141	phage	unknown	unknown	temperate
LPd_1__1752	8604	non-phage	NA	NA	NA
LPd_1__1757	16654	phage	no_family_avaliable(NC_062777)	unknown	virulent
LPd_1__1763	4582	phage	unknown	unknown	virulent
LPd_1__1766	2280	non-phage	NA	NA	NA
LPd_1__1788	7731	non-phage	NA	NA	NA
LPd_1__1794	2681	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__1797	3904	non-phage	NA	NA	NA
LPd_1__1804	2509	non-phage	NA	NA	NA
LPd_1__1824	6267	non-phage	NA	NA	NA
LPd_1__1829	2208	non-phage	NA	NA	NA
LPd_1__1831	4509	non-phage	NA	NA	NA
LPd_1__1841	5305	phage	unknown	unknown	temperate
LPd_1__1842	6414	phage	unknown	unknown	temperate
LPd_1__1854	14562	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	temperate
LPd_1__1857	3208	non-phage	NA	NA	NA
LPd_1__1858	2146	non-phage	NA	NA	NA
LPd_1__1860	4164	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1865	3523	phage	unknown	unknown	virulent
LPd_1__1866	4030	non-phage	NA	NA	NA
LPd_1__1875	3621	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1879	2038	non-phage	NA	NA	NA
LPd_1__1888	3963	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__1906	3572	non-phage	NA	NA	NA
LPd_1__1913	2110	non-phage	NA	NA	NA
LPd_1__1915	5244	non-phage	NA	NA	NA
LPd_1__192	9910	non-phage	NA	NA	NA
LPd_1__1920	4788	non-phage	NA	NA	NA
LPd_1__1929	5684	non-phage	NA	NA	NA
LPd_1__1943	3815	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__1947	19523	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__1950	11479	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	virulent
LPd_1__1954	7683	non-phage	NA	NA	NA
LPd_1__1957	13886	non-phage	NA	NA	NA
LPd_1__1959	16115	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Croceibacter atlanticus	temperate
LPd_1__1961	3385	non-phage	NA	NA	NA
LPd_1__1963	16410	non-phage	NA	NA	NA
LPd_1__1965	3716	non-phage	NA	NA	NA
LPd_1__1974	4869	non-phage	NA	NA	NA
LPd_1__1980	14370	non-phage	NA	NA	NA
LPd_1__2016	2807	non-phage	NA	NA	NA
LPd_1__2019	3599	non-phage	NA	NA	NA
LPd_1__2021	3451	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Mycobacterium sp. PS03_16	temperate
LPd_1__2024	3113	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2032	7446	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	unknown	temperate
LPd_1__2042	7132	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	unknown	temperate
LPd_1__2056	2909	non-phage	NA	NA	NA
LPd_1__2063	4565	non-phage	NA	NA	NA
LPd_1__2065	15461	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Lactobacillus fermentum	virulent
LPd_1__2067	77858	non-phage	NA	NA	NA
LPd_1__2068	4582	non-phage	NA	NA	NA
LPd_1__2083	2078	non-phage	NA	NA	NA
LPd_1__2089	25132	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Oligella urethralis	temperate
LPd_1__2091	9984	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__2093	2210	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2101	3156	non-phage	NA	NA	NA
LPd_1__2102	2516	non-phage	NA	NA	NA
LPd_1__211	3003	phage	unknown	unknown	temperate
LPd_1__212	4013	non-phage	NA	NA	NA
LPd_1__2128	7595	phage	unknown	unknown	temperate
LPd_1__2149	2798	non-phage	NA	NA	NA
LPd_1__215	3226	non-phage	NA	NA	NA
LPd_1__2158	18619	phage	no_family_avaliable(NC_062777)	unknown	virulent
LPd_1__2178	9249	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2199	4812	non-phage	NA	NA	NA
LPd_1__2205	2058	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2212	7564	non-phage	NA	NA	NA
LPd_1__2227	4354	non-phage	NA	NA	NA
LPd_1__2243	19629	non-phage	NA	NA	NA
LPd_1__2246	3054	phage	unknown	unknown	virulent
LPd_1__2253	7036	non-phage	NA	NA	NA
LPd_1__2256	4006	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__226	6120	phage	unknown	unknown	temperate
LPd_1__2268	2229	non-phage	NA	NA	NA
LPd_1__228	4089	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2280	3562	phage	unknown	unknown	virulent
LPd_1__2285	4891	non-phage	NA	NA	NA
LPd_1__2292	2568	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2301	2175	phage	unknown	unknown	temperate
LPd_1__2302	13737	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2318	2516	phage	unknown	Mycobacterium liflandii	temperate
LPd_1__232	5189	non-phage	NA	NA	NA
LPd_1__2354	5595	non-phage	NA	NA	NA
LPd_1__2355	4465	non-phage	NA	NA	NA
LPd_1__2356	5063	non-phage	NA	NA	NA
LPd_1__236	2086	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2378	3082	non-phage	NA	NA	NA
LPd_1__2399	6272	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2411	2383	non-phage	NA	NA	NA
LPd_1__2413	5464	non-phage	NA	NA	NA
LPd_1__2418	2538	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2431	2436	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2432	6910	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	temperate
LPd_1__2437	3159	phage	unknown	unknown	temperate
LPd_1__2438	3472	non-phage	NA	NA	NA
LPd_1__2439	33244	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Dinoroseobacter shibae	temperate
LPd_1__2444	34656	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Synechococcus sp. WH 8102	virulent
LPd_1__245	5809	non-phage	NA	NA	NA
LPd_1__2453	24427	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Demerecviridae	unknown	virulent
LPd_1__2458	12083	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_1__247	9625	phage	unknown	unknown	temperate
LPd_1__2473	2191	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2479	2203	non-phage	NA	NA	NA
LPd_1__2509	4096	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Candidatus Pelagibacter ubique	virulent
LPd_1__2511	7480	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Dinoroseobacter shibae	virulent
LPd_1__2518	2052	phage	unknown	unknown	temperate
LPd_1__2527	3935	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	temperate
LPd_1__2528	3054	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2540	2525	non-phage	NA	NA	NA
LPd_1__2544	2687	non-phage	NA	NA	NA
LPd_1__2546	20117	non-phage	NA	NA	NA
LPd_1__2575	2392	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2581	5308	phage	unknown	unknown	temperate
LPd_1__2586	4075	phage	unknown	Candidatus Pelagibacter ubique	virulent
LPd_1__2587	4402	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2588	2518	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2594	4931	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	temperate
LPd_1__2601	5253	non-phage	NA	NA	NA
LPd_1__2611	7362	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2617	4828	non-phage	NA	NA	NA
LPd_1__2619	2158	non-phage	NA	NA	NA
LPd_1__2626	5053	non-phage	NA	NA	NA
LPd_1__2629	2025	phage	unknown	unknown	virulent
LPd_1__263	2097	non-phage	NA	NA	NA
LPd_1__2640	16802	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Lactobacillus fermentum	temperate
LPd_1__2645	3983	non-phage	NA	NA	NA
LPd_1__2656	6282	non-phage	NA	NA	NA
LPd_1__2659	7340	non-phage	NA	NA	NA
LPd_1__2663	20884	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__2669	2401	non-phage	NA	NA	NA
LPd_1__2727	4615	non-phage	NA	NA	NA
LPd_1__2737	4726	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2742	4402	phage	unknown	unknown	virulent
LPd_1__2748	2628	phage	unknown	unknown	temperate
LPd_1__2749	2850	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2756	12431	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Ackermannviridae	Rhodanobacter sp. Root561	temperate
LPd_1__2758	5299	non-phage	NA	NA	NA
LPd_1__2763	2663	phage	unknown	unknown	temperate
LPd_1__2790	3176	phage	unknown	unknown	virulent
LPd_1__2795	2458	phage	unknown	unknown	temperate
LPd_1__2813	4163	non-phage	NA	NA	NA
LPd_1__2824	3902	non-phage	NA	NA	NA
LPd_1__2833	6840	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2835	5457	non-phage	NA	NA	NA
LPd_1__2841	7005	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2847	23545	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	virulent
LPd_1__2855	2142	non-phage	NA	NA	NA
LPd_1__2860	7931	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2866	14545	phage	unknown	Candidatus Pelagibacter ubique	virulent
LPd_1__2870	6625	non-phage	NA	NA	NA
LPd_1__2875	5070	non-phage	NA	NA	NA
LPd_1__2877	3086	phage	unknown	unknown	temperate
LPd_1__2882	6538	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	unknown	virulent
LPd_1__2889	2837	non-phage	NA	NA	NA
LPd_1__289	7303	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__2890	18144	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Flavobacterium columnare	temperate
LPd_1__2904	3913	non-phage	NA	NA	NA
LPd_1__2907	6287	non-phage	NA	NA	NA
LPd_1__2915	11515	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Autographiviridae	Candidatus Pelagibacter ubique	temperate
LPd_1__2928	2177	phage	unknown	unknown	temperate
LPd_1__2950	3266	non-phage	NA	NA	NA
LPd_1__296	2549	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__2965	3461	phage	unknown	unknown	virulent
LPd_1__2966	2803	non-phage	NA	NA	NA
LPd_1__2983	9122	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Drexlerviridae	unknown	temperate
LPd_1__2996	7658	phage	unknown	unknown	temperate
LPd_1__3012	4137	non-phage	NA	NA	NA
LPd_1__3021	6282	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3026	8478	non-phage	NA	NA	NA
LPd_1__3031	7440	non-phage	NA	NA	NA
LPd_1__3033	3081	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3048	2548	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3053	2468	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Marvinbryantia formatexigens	virulent
LPd_1__3066	3877	non-phage	NA	NA	NA
LPd_1__3067	7224	phage	unknown	Syntrophobotulus glycolicus	temperate
LPd_1__307	19407	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3070	43357	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Clostridium tetani	temperate
LPd_1__3080	4843	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3082	2052	non-phage	NA	NA	NA
LPd_1__3106	2777	phage	unknown	unknown	temperate
LPd_1__3115	2765	non-phage	NA	NA	NA
LPd_1__3131	6245	non-phage	NA	NA	NA
LPd_1__3137	3299	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3153	3216	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Mesyanzhinovviridae	Dinoroseobacter shibae	temperate
LPd_1__316	2193	non-phage	NA	NA	NA
LPd_1__3160	4173	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	Colwellia psychrerythraea	virulent
LPd_1__3179	4452	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3181	3601	non-phage	NA	NA	NA
LPd_1__3199	8102	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__3200	3906	non-phage	NA	NA	NA
LPd_1__3206	4764	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Dinoroseobacter shibae	temperate
LPd_1__3208	4305	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	unknown	virulent
LPd_1__3213	42057	phage	unknown	Rhodobacter capsulatus	temperate
LPd_1__3215	15908	phage	unknown	unknown	temperate
LPd_1__3225	2041	non-phage	NA	NA	NA
LPd_1__3228	2750	non-phage	NA	NA	NA
LPd_1__3232	3196	non-phage	NA	NA	NA
LPd_1__3234	2664	phage	unknown	Dinoroseobacter shibae	virulent
LPd_1__3245	7244	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3251	5833	non-phage	NA	NA	NA
LPd_1__3255	10533	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	unknown	virulent
LPd_1__3260	4015	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3264	2330	phage	unknown	unknown	temperate
LPd_1__3270	2875	non-phage	NA	NA	NA
LPd_1__3278	2694	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3279	9673	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3285	4767	non-phage	NA	NA	NA
LPd_1__3286	4228	phage	unknown	Lactobacillus delbrueckii	temperate
LPd_1__329	4214	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3305	2637	non-phage	NA	NA	NA
LPd_1__3312	8142	phage	unknown	unknown	virulent
LPd_1__3314	4586	non-phage	NA	NA	NA
LPd_1__3328	12851	non-phage	NA	NA	NA
LPd_1__3329	5341	non-phage	NA	NA	NA
LPd_1__3345	2504	non-phage	NA	NA	NA
LPd_1__3347	2383	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__336	9451	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Salasmaviridae	unknown	virulent
LPd_1__3363	12093	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Schitoviridae	unknown	temperate
LPd_1__3364	3693	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3372	2149	non-phage	NA	NA	NA
LPd_1__3392	2804	phage	unknown	unknown	temperate
LPd_1__3394	2541	non-phage	NA	NA	NA
LPd_1__3411	7769	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3414	2936	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3416	2023	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3419	10215	phage	unknown	unknown	virulent
LPd_1__342	9525	non-phage	NA	NA	NA
LPd_1__3425	10103	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	Colwellia psychrerythraea	temperate
LPd_1__3426	6198	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Bacillus alcalophilus	virulent
LPd_1__3434	11698	non-phage	NA	NA	NA
LPd_1__3446	4172	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3451	5287	non-phage	NA	NA	NA
LPd_1__3452	2068	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__3460	2352	non-phage	NA	NA	NA
LPd_1__348	3246	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3494	2912	non-phage	NA	NA	NA
LPd_1__3504	16933	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3508	16440	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Straboviridae	Colwellia psychrerythraea	virulent
LPd_1__351	13300	non-phage	NA	NA	NA
LPd_1__3511	2292	non-phage	NA	NA	NA
LPd_1__3512	7834	phage	unknown	Faecalibaculum rodentium	virulent
LPd_1__3520	5568	phage	unknown	Candidatus Pelagibacter ubique	virulent
LPd_1__3529	16195	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Paenibacillus larvae	temperate
LPd_1__3546	10636	non-phage	NA	NA	NA
LPd_1__3548	16516	phage	unknown	unknown	temperate
LPd_1__355	6155	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3560	22159	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Kyanoviridae	Colwellia psychrerythraea	temperate
LPd_1__3566	2130	phage	unknown	bacterium 1XD42-8	temperate
LPd_1__3574	5160	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3582	2193	non-phage	NA	NA	NA
LPd_1__3589	4985	phage	unknown	unknown	temperate
LPd_1__3594	29154	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Drexlerviridae	Colwellia psychrerythraea	virulent
LPd_1__360	4241	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3600	2369	non-phage	NA	NA	NA
LPd_1__3612	22662	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Mannheimia haemolytica	temperate
LPd_1__362	2148	non-phage	NA	NA	NA
LPd_1__3628	4601	non-phage	NA	NA	NA
LPd_1__3644	3372	phage	unknown	unknown	temperate
LPd_1__3652	2552	non-phage	NA	NA	NA
LPd_1__3668	8503	non-phage	NA	NA	NA
LPd_1__3670	9464	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3679	4735	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3683	27298	non-phage	NA	NA	NA
LPd_1__3701	14568	non-phage	NA	NA	NA
LPd_1__3703	7053	phage	unknown	unknown	virulent
LPd_1__3704	3077	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3716	5157	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Zierdtviridae	Dinoroseobacter shibae	virulent
LPd_1__3718	5684	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3726	13659	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__374	8429	non-phage	NA	NA	NA
LPd_1__3751	5764	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3765	4771	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3767	7225	non-phage	NA	NA	NA
LPd_1__3769	4271	non-phage	NA	NA	NA
LPd_1__3776	5695	non-phage	NA	NA	NA
LPd_1__3778	9164	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Dinoroseobacter shibae	virulent
LPd_1__378	9489	phage	unknown	Lactococcus lactis	virulent
LPd_1__3783	3769	phage	unknown	unknown	virulent
LPd_1__3792	4192	non-phage	NA	NA	NA
LPd_1__3801	3701	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__3811	5687	non-phage	NA	NA	NA
LPd_1__3819	2477	non-phage	NA	NA	NA
LPd_1__3822	2267	non-phage	NA	NA	NA
LPd_1__3829	20100	non-phage	NA	NA	NA
LPd_1__3849	3328	non-phage	NA	NA	NA
LPd_1__3850	5658	non-phage	NA	NA	NA
LPd_1__3856	8580	phage	unknown	Bacteroides fragilis	temperate
LPd_1__3863	2602	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__3868	5212	non-phage	NA	NA	NA
LPd_1__3872	7747	non-phage	NA	NA	NA
LPd_1__3875	2707	non-phage	NA	NA	NA
LPd_1__3881	12470	non-phage	NA	NA	NA
LPd_1__389	2051	phage	unknown	unknown	temperate
LPd_1__3905	2133	non-phage	NA	NA	NA
LPd_1__3908	2041	non-phage	NA	NA	NA
LPd_1__3922	3060	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Casjensviridae	unknown	virulent
LPd_1__3943	5644	phage	unknown	Colwellia psychrerythraea	temperate
